old,new
Assets/Textures/Checkout/Characters/RearWatchGuard1.png,Assets/Textures/art/Characters/Guard/RearWatchGuard1.png
Assets/Textures/Checkout/Characters/Inspector.png,Assets/Textures/art/Characters/Inspector/Inspector.png
Assets/Textures/Checkout/Characters/InspectorHead.png,Assets/Textures/art/Characters/Inspector/InspectorHead.png
Assets/Textures/Checkout/Characters/MaleCustomer0.png,Assets/Textures/art/Customer/Legacy/MaleCustomer0.png
Assets/Textures/Checkout/Products/CannedFood.png,Assets/Textures/art/Products/CannedFood.png
Assets/Textures/Checkout/Products/DrinkingWater.png,Assets/Textures/art/Products/DrinkingWater.png
Assets/Textures/Checkout/Products/DryBattery.png,Assets/Textures/art/Products/DryBattery.png
Assets/Textures/Checkout/Products/EmergencyInjection.png,Assets/Textures/art/Products/EmergencyInjection.png
Assets/Textures/Checkout/Products/Flashlight.png,Assets/Textures/art/Products/Flashlight.png
Assets/Textures/Checkout/Products/FoldingShovel.png,Assets/Textures/art/Products/FoldingShovel.png
Assets/Textures/Checkout/Products/GasMask.png,Assets/Textures/art/Products/GasMask.png
Assets/Textures/Checkout/Products/MedicalBandage.png,Assets/Textures/art/Products/MedicalBandage.png
Assets/Textures/Checkout/Products/Medicine.png,Assets/Textures/art/Products/Medicine.png
Assets/Textures/Checkout/Products/MilitaryRation.png,Assets/Textures/art/Products/MilitaryRation.png
Assets/Textures/Checkout/Products/NutritionBar.png,Assets/Textures/art/Products/NutritionBar.png
Assets/Textures/Checkout/Products/PowerBattery.png,Assets/Textures/art/Products/PowerBattery.png
Assets/Textures/Checkout/Products/ProtectiveSuit.png,Assets/Textures/art/Products/ProtectiveSuit.png
Assets/Textures/Checkout/Products/RadiationDetector.png,Assets/Textures/art/Products/RadiationDetector.png
Assets/Textures/Checkout/Products/Radio.png,Assets/Textures/art/Products/Radio.png
Assets/Textures/Checkout/Products/ThermalCamera.png,Assets/Textures/art/Products/ThermalCamera.png
Assets/Textures/Checkout/Products/Legacy/Bandage.png,Assets/Textures/art/Products/Legacy/Bandage.png
Assets/Textures/Checkout/Products/Legacy/Battery.png,Assets/Textures/art/Products/Legacy/Battery.png
Assets/Textures/Checkout/Products/Legacy/Can.png,Assets/Textures/art/Products/Legacy/Can.png
Assets/Textures/Checkout/Products/Legacy/Crackers.png,Assets/Textures/art/Products/Legacy/Crackers.png
Assets/Textures/Checkout/Products/Legacy/Fuel.png,Assets/Textures/art/Products/Legacy/Fuel.png
Assets/Textures/Checkout/Products/Legacy/Mask.png,Assets/Textures/art/Products/Legacy/Mask.png
Assets/Textures/Checkout/Products/Legacy/Painkiller.png,Assets/Textures/art/Products/Legacy/Painkiller.png
Assets/Textures/Checkout/Products/Legacy/Rice.png,Assets/Textures/art/Products/Legacy/Rice.png
Assets/Textures/Checkout/Products/Legacy/Soap.png,Assets/Textures/art/Products/Legacy/Soap.png
Assets/Textures/Checkout/Products/Legacy/Water.png,Assets/Textures/art/Products/Legacy/Water.png
Assets/Textures/Checkout/Shop/BoothCanopy.png,Assets/Textures/art/Facility/Frame/BoothCanopy.png
Assets/Textures/Checkout/Shop/Stage2Shop.png,Assets/Textures/art/Facility/Frame/Stage2Shop.png
Assets/Textures/Checkout/Shop/Stage2ShopNormal.png,Assets/Textures/art/Facility/Frame/Stage2ShopNormal.png
Assets/Textures/Checkout/Shop/Stage3Shop.png,Assets/Textures/art/Facility/Frame/Stage3Shop.png
Assets/Textures/Checkout/Shop/Stage3ShopNormal.png,Assets/Textures/art/Facility/Frame/Stage3ShopNormal.png
Assets/Textures/Checkout/Shop/Stage1BasicClock.png,Assets/Textures/art/Facility/Clock/Stage1BasicClock.png
Assets/Textures/Checkout/Shop/Stage1BasicClockNormal.png,Assets/Textures/art/Facility/Clock/Stage1BasicClockNormal.png
Assets/Textures/Checkout/Shop/Stage2Clock.png,Assets/Textures/art/Facility/Clock/Stage2Clock.png
Assets/Textures/Checkout/Shop/Stage2ClockNormal.png,Assets/Textures/art/Facility/Clock/Stage2ClockNormal.png
Assets/Textures/Checkout/Shop/Stage3Clock.png,Assets/Textures/art/Facility/Clock/Stage3Clock.png
Assets/Textures/Checkout/Shop/Stage3ClockNormal.png,Assets/Textures/art/Facility/Clock/Stage3ClockNormal.png
Assets/Textures/Checkout/Workbench/CounterClock.png,Assets/Textures/art/Facility/Clock/CounterClock.png
Assets/Textures/art/Facility/Frame/Stage2RustedClock.png,Assets/Textures/art/Facility/Clock/Stage2RustedClock.png
Assets/Textures/art/Facility/Frame/Stage3GunmetalClock.png,Assets/Textures/art/Facility/Clock/Stage3GunmetalClock.png
Assets/Textures/Checkout/Shop/BoothCounter.png,Assets/Textures/art/Facility/CounterTop/BoothCounter.png
Assets/Textures/Checkout/Shop/Counter.png,Assets/Textures/art/Facility/CounterTop/Counter.png
Assets/Textures/Checkout/Shop/Stage1WoodCounter.png,Assets/Textures/art/Facility/CounterTop/Stage1WoodCounter.png
Assets/Textures/Checkout/Shop/Stage3Counter.png,Assets/Textures/art/Facility/CounterTop/Stage3Counter.png
Assets/Textures/Checkout/Shop/Stage3CounterNormal.png,Assets/Textures/art/Facility/CounterTop/Stage3CounterNormal.png
Assets/Textures/Checkout/Shop/Stage1WoodContainerCompact.png,Assets/Textures/art/Facility/Crate/Stage1WoodContainerCompact.png
Assets/Textures/Checkout/Shop/Stage1WoodContainerCompactNormal.png,Assets/Textures/art/Facility/Crate/Stage1WoodContainerCompactNormal.png
Assets/Textures/Checkout/Shop/Stage2Container.png,Assets/Textures/art/Facility/Crate/Stage2Container.png
Assets/Textures/Checkout/Shop/Stage2ContainerNormal.png,Assets/Textures/art/Facility/Crate/Stage2ContainerNormal.png
Assets/Textures/Checkout/Shop/Stage3Container.png,Assets/Textures/art/Facility/Crate/Stage3Container.png
Assets/Textures/Checkout/Shop/Stage3ContainerNormal.png,Assets/Textures/art/Facility/Crate/Stage3ContainerNormal.png
Assets/Textures/Checkout/Workbench/FrontContainerMale.png,Assets/Textures/art/Facility/Crate/FrontContainerMale.png
Assets/Textures/Checkout/Workbench/FrontContainerFemale.png,Assets/Textures/art/Facility/Crate/FrontContainerFemale.png
Assets/Textures/Checkout/Workbench/FrontContainerNormal.png,Assets/Textures/art/Facility/Crate/FrontContainerNormal.png
Assets/Textures/Checkout/Workbench/TopDownWorkbench.png,Assets/Textures/art/Facility/Workbench/TopDownWorkbench.png
Assets/Textures/Checkout/Workbench/TopDownWorkbenchNormal.png,Assets/Textures/art/Facility/Workbench/TopDownWorkbenchNormal.png
Assets/Textures/Checkout/Workbench/Calculator.png,Assets/Textures/art/Workbench/Calculator.png
Assets/Textures/Checkout/Workbench/CalculatorToggle.png,Assets/Textures/art/Workbench/CalculatorToggle.png
Assets/Textures/Checkout/Workbench/DividerBar.png,Assets/Textures/art/Workbench/DividerBar.png
Assets/Textures/Checkout/Workbench/Vacuum.png,Assets/Textures/art/Workbench/Vacuum.png
Assets/Textures/Checkout/Workbench/TopDownCan.png,Assets/Textures/art/Workbench/TopDownCan.png
Assets/Textures/Checkout/Workbench/TopDownCrackers.png,Assets/Textures/art/Workbench/TopDownCrackers.png
Assets/Textures/Checkout/Workbench/TopDownRiceRound.png,Assets/Textures/art/Workbench/TopDownRiceRound.png
Assets/Textures/Checkout/Workbench/TopDownWater.png,Assets/Textures/art/Workbench/TopDownWater.png
Assets/Textures/Checkout/Workbench/TopDownContainerEmpty.png,Assets/Textures/art/Workbench/TopDownContainerEmpty.png
Assets/Textures/Checkout/Workbench/TopDownContainerTilted.png,Assets/Textures/art/Workbench/TopDownContainerTilted.png
Assets/Textures/Checkout/UI/DailyInstruction.png,Assets/Textures/art/UI/DailyInstruction.png
Assets/Textures/Checkout/UI/DailyLedger.png,Assets/Textures/art/UI/DailyLedger.png
Assets/Textures/Checkout/UI/DialogueFrame.png,Assets/Textures/art/UI/DialogueFrame.png
Assets/Textures/Checkout/UI/Hands.png,Assets/Textures/art/UI/Hands.png
Assets/Textures/Checkout/UI/InstructionStartStamp.png,Assets/Textures/art/UI/InstructionStartStamp.png
Assets/Textures/Checkout/UI/LedgerDaughter.png,Assets/Textures/art/UI/LedgerDaughter.png
Assets/Textures/Checkout/UI/LedgerDrawing.png,Assets/Textures/art/UI/LedgerDrawing.png
Assets/Textures/Checkout/UI/LedgerSpeechBubble.png,Assets/Textures/art/UI/LedgerSpeechBubble.png
Assets/Textures/Checkout/UI/TradeReactions.png,Assets/Textures/art/UI/TradeReactions.png
