demand,phase,mask,facility_ids,facilities,mean,mean_se,expected6,exact_target,band,rounded_target,achievement6,expected8
draft,1,0,,미구매,811.9734375,1.4036887470580035,4871.840625000001,6089.80078125,0,6100,0.7986623975409837,6495.7875
draft,1,1,12001,식량,1068.2927083333334,2.0513231218441352,6409.75625,8012.1953125,1,8000,0.80121953125,8546.341666666667
draft,1,2,12002,약품,1720.5786458333334,4.09093106109828,10323.471875000001,12904.33984375,2,13100,0.788051288167939,13764.629166666668
draft,1,3,12001_12002,식량+약품,1783.9630208333333,4.227100628935964,10703.778125,13379.72265625,2,13100,0.8170822996183207,14271.704166666666
draft,1,4,12003,공구,2436.4583333333335,6.101489235243624,14618.75,18273.4375,3,18900,0.7734788359788359,19491.666666666668
draft,1,5,12001_12003,식량+공구,2421.403125,6.161709432311111,14528.418749999999,18160.5234375,3,18900,0.7686994047619047,19371.225
draft,1,6,12002_12003,약품+공구,2751.2734375,6.496223006034947,16507.640625,20634.55078125,4,21500,0.767797238372093,22010.1875
draft,1,7,12001_12002_12003,식량+약품+공구,2605.534375,6.307054013474408,15633.206250000001,19541.5078125,3,18900,0.8271537698412699,20844.275
draft,1,8,12004,전력·통신,2857.7625,8.387752911212935,17146.574999999997,21433.21875,4,21500,0.7975151162790697,22862.1
draft,1,9,12001_12004,식량+전력·통신,2869.6588541666665,8.705645789373424,17217.953125,21522.44140625,4,21500,0.8008350290697674,22957.270833333332
draft,1,10,12002_12004,약품+전력·통신,3222.3328125,9.074416913526127,19333.996874999997,24167.49609375,5,25500,0.7581959558823528,25778.6625
draft,1,11,12001_12002_12004,식량+약품+전력·통신,2993.7364583333333,8.957059900232238,17962.41875,22453.0234375,4,21500,0.8354613372093024,23949.891666666666
draft,1,12,12003_12004,공구+전력·통신,3698.2916666666665,9.455351756160841,22189.75,27737.1875,6,27700,0.8010740072202166,29586.333333333332
draft,1,13,12001_12003_12004,식량+공구+전력·통신,3417.4875,9.255235751287747,20504.925000000003,25631.15625,5,25500,0.804114705882353,27339.9
draft,1,14,12002_12003_12004,약품+공구+전력·통신,3578.3880208333335,9.062426339765567,21470.328125,26837.91015625,5,25500,0.8419736519607843,28627.104166666668
draft,1,15,12001_12002_12003_12004,식량+약품+공구+전력·통신,3345.272395833333,8.957730373068632,20071.634374999998,25089.54296875,5,25500,0.7871229166666666,26762.179166666665
draft,1,16,12005,핵보호,7668.096354166667,23.87160905244551,46008.578125,57510.72265625,8,55300,0.8319815212477396,61344.770833333336
draft,1,17,12001_12005,식량+핵보호,7147.05625,24.779383271929703,42882.337499999994,53602.921875,8,55300,0.7754491410488245,57176.45
draft,1,18,12002_12005,약품+핵보호,7071.527604166667,24.562654946678357,42429.165625,53036.45703125,8,55300,0.7672543512658229,56572.22083333333
draft,1,19,12001_12002_12005,식량+약품+핵보호,6380.501041666666,24.466360105571738,38283.00625,47853.7578125,7,46800,0.818012954059829,51044.00833333333
draft,1,20,12003_12005,공구+핵보호,7197.983333333334,23.817154623663452,43187.9,53984.875,8,55300,0.7809746835443038,57583.86666666667
draft,1,21,12001_12003_12005,식량+공구+핵보호,6510.7484375,23.69590949678293,39064.490625000006,48830.61328125,7,46800,0.8347113381410257,52085.9875
draft,1,22,12002_12003_12005,약품+공구+핵보호,6426.676041666667,23.081266760925327,38560.05625,48200.0703125,7,46800,0.8239328258547008,51413.40833333333
draft,1,23,12001_12002_12003_12005,식량+약품+공구+핵보호,5909.665104166666,22.87714031751003,35457.990625,44322.48828125,7,46800,0.7576493723290598,47277.32083333333
draft,1,24,12004_12005,전력·통신+핵보호,8138.1453125,24.43948938771223,48828.871875,61036.08984375,9,64500,0.7570367732558139,65105.1625
draft,1,25,12001_12004_12005,식량+전력·통신+핵보호,7289.5265625,24.489224075167982,43737.159375,54671.44921875,8,55300,0.7909070411392406,58316.2125
draft,1,26,12002_12004_12005,약품+전력·통신+핵보호,7146.327604166667,23.853158096525316,42877.965625,53597.45703125,8,55300,0.7753700836347197,57170.620833333334
draft,1,27,12001_12002_12004_12005,식량+약품+전력·통신+핵보호,6493.011458333333,23.801550786604434,38958.06875,48697.5859375,7,46800,0.8324373664529914,51944.09166666667
draft,1,28,12003_12004_12005,공구+전력·통신+핵보호,7203.7109375,23.085447412361635,43222.265625,54027.83203125,8,55300,0.7815961234177216,57629.6875
draft,1,29,12001_12003_12004_12005,식량+공구+전력·통신+핵보호,6564.435416666666,22.77302171950989,39386.612499999996,49233.265625,7,46800,0.8415942841880341,52515.48333333333
draft,1,30,12002_12003_12004_12005,약품+공구+전력·통신+핵보호,6483.398958333333,22.334835139308886,38900.39375,48625.4921875,7,46800,0.8312049946581197,51867.191666666666
draft,1,31,12001_12002_12003_12004_12005,식량+약품+공구+전력·통신+핵보호,6016.960416666667,21.945550195020758,36101.7625,45127.203125,7,46800,0.7714051816239316,48135.683333333334
draft,1,32,12006,정밀장비,12700.170833333334,39.58481453640252,76201.025,95251.28125,12,96700,0.7880147362978283,101601.36666666667
draft,1,33,12001_12006,식량+정밀장비,11619.334895833334,41.046643993988795,69716.009375,87145.01171875,11,84300,0.8269989249703439,92954.67916666667
draft,1,34,12002_12006,약품+정밀장비,11224.213541666666,40.82040958968195,67345.28125,84181.6015625,11,84300,0.7988764086595492,89793.70833333333
draft,1,35,12001_12002_12006,식량+약품+정밀장비,9936.5796875,40.69436496570825,59619.478124999994,74524.34765625,10,74500,0.8002614513422818,79492.6375
draft,1,36,12003_12006,공구+정밀장비,10954.124479166667,39.38793655339616,65724.746875,82155.93359375,11,84300,0.7796529878410439,87632.99583333333
draft,1,37,12001_12003_12006,식량+공구+정밀장비,9777.182291666666,39.13899337719115,58663.09375,73328.8671875,10,74500,0.7874240771812081,78217.45833333333
draft,1,38,12002_12003_12006,약품+공구+정밀장비,9442.2203125,38.5124434247636,56653.321874999994,70816.65234375,10,74500,0.7604472734899328,75537.7625
draft,1,39,12001_12002_12003_12006,식량+약품+공구+정밀장비,8606.653645833334,38.078177235910665,51639.921875,64549.90234375001,9,64500,0.8006189437984497,68853.22916666667
draft,1,40,12004_12006,전력·통신+정밀장비,12278.5359375,39.63419498639647,73671.21562500001,92089.01953125,12,96700,0.7618533156670115,98228.2875
draft,1,41,12001_12004_12006,식량+전력·통신+정밀장비,10909.466145833334,39.74035046295551,65456.796875,81820.99609375,11,84300,0.7764744587781732,87275.72916666667
draft,1,42,12002_12004_12006,약품+전력·통신+정밀장비,10495.359895833333,39.01881771822091,62972.159375,78715.19921875,10,74500,0.845263884228188,83962.87916666667
draft,1,43,12001_12002_12004_12006,식량+약품+전력·통신+정밀장비,9490.205208333333,39.05152353582595,56941.23125,71176.5390625,10,74500,0.7643118288590603,75921.64166666666
draft,1,44,12003_12004_12006,공구+전력·통신+정밀장비,10267.1875,37.57611245553051,61603.125,77003.90625,10,74500,0.8268875838926174,82137.5
draft,1,45,12001_12003_12004_12006,식량+공구+전력·통신+정밀장비,9332.408854166666,37.43850173100447,55994.453125,69993.06640625,10,74500,0.7516033976510067,74659.27083333333
draft,1,46,12002_12003_12004_12006,약품+공구+전력·통신+정밀장비,9069.90625,37.038062942135895,54419.4375,68024.296875,9,64500,0.8437122093023256,72559.25
draft,1,47,12001_12002_12003_12004_12006,식량+약품+공구+전력·통신+정밀장비,8367.9703125,36.44423443843041,50207.821874999994,62759.77734375,9,64500,0.7784158430232557,66943.7625
draft,1,48,12005_12006,핵보호+정밀장비,15061.525,43.36931106615609,90369.15,112961.4375,13,113000,0.7997269911504424,120492.2
draft,1,49,12001_12005_12006,식량+핵보호+정밀장비,13176.238541666668,42.5688834991877,79057.43125000001,98821.7890625,12,96700,0.8175535806618408,105409.90833333334
draft,1,50,12002_12005_12006,약품+핵보호+정밀장비,12606.85625,41.61864741393366,75641.13750000001,94551.421875,12,96700,0.7822247931747675,100854.85
draft,1,51,12001_12002_12005_12006,식량+약품+핵보호+정밀장비,11393.9796875,41.39680034309676,68363.87812499999,85454.84765625,11,84300,0.8109594083629892,91151.8375
draft,1,52,12003_12005_12006,공구+핵보호+정밀장비,12196.389583333334,40.33289916082212,73178.3375,91472.921875,12,96700,0.7567563340227507,97571.11666666667
draft,1,53,12001_12003_12005_12006,식량+공구+핵보호+정밀장비,11091.005208333334,39.802637616840556,66546.03125,83182.5390625,11,84300,0.7893953884934757,88728.04166666667
draft,1,54,12002_12003_12005_12006,약품+공구+핵보호+정밀장비,10727.796875,39.21438700450557,64366.78125,80458.4765625,11,84300,0.7635442615658363,85822.375
draft,1,55,12001_12002_12003_12005_12006,식량+약품+공구+핵보호+정밀장비,9943.556770833333,38.81048848689935,59661.340625,74576.67578125,10,74500,0.8008233640939597,79548.45416666666
draft,1,56,12004_12005_12006,전력·통신+핵보호+정밀장비,13595.653125,40.83539876562164,81573.91875000001,101967.3984375,12,96700,0.8435772362978284,108765.225
draft,1,57,12001_12004_12005_12006,식량+전력·통신+핵보호+정밀장비,12185.0953125,40.72017879922315,73110.571875,91388.21484375,12,96700,0.7560555519648396,97480.7625
draft,1,58,12002_12004_12005_12006,약품+전력·통신+핵보호+정밀장비,11739.748958333334,39.99276544704109,70438.49375,88048.1171875,11,84300,0.8355693208778172,93917.99166666667
draft,1,59,12001_12002_12004_12005_12006,식량+약품+전력·통신+핵보호+정밀장비,10772.766145833333,39.69772307688468,64636.596875,80795.74609375,11,84300,0.7667449214116252,86182.12916666667
draft,1,60,12003_12004_12005_12006,공구+전력·통신+핵보호+정밀장비,11401.058333333332,38.59230994019855,68406.34999999999,85507.9375,11,84300,0.8114632265717674,91208.46666666666
draft,1,61,12001_12003_12004_12005_12006,식량+공구+전력·통신+핵보호+정밀장비,10525.802604166667,38.27072038075942,63154.815625,78943.51953125,10,74500,0.8477156459731544,84206.42083333334
draft,1,62,12002_12003_12004_12005_12006,약품+공구+전력·통신+핵보호+정밀장비,10240.096875,37.687271288336696,61440.581249999996,76800.7265625,10,74500,0.824705788590604,81920.775
draft,1,63,12001_12002_12003_12004_12005_12006,식량+약품+공구+전력·통신+핵보호+정밀장비,9549.459375,37.32983234682359,57296.756250000006,71620.9453125,10,74500,0.7690839765100672,76395.675
draft,2,0,,미구매,813.6713541666667,1.4114202288835533,4882.028125,6102.53515625,0,6100,0.8003324795081966,6509.370833333333
draft,2,1,12001,식량,1042.3588541666666,1.9542960212109382,6254.153124999999,7817.691406249999,1,7800,0.801814503205128,8338.870833333332
draft,2,2,12002,약품,1555.8276041666666,3.700095747912915,9334.965624999999,11668.70703125,2,12300,0.7589402947154471,12446.620833333332
draft,2,3,12001_12002,식량+약품,1713.3958333333333,3.8553942198874283,10280.375,12850.46875,2,12300,0.8358028455284553,13707.166666666666
draft,2,4,12003,공구,2076.679166666667,5.595512170446198,12460.075,15575.09375,3,16100,0.7739177018633541,16613.433333333334
draft,2,5,12001_12003,식량+공구,2212.2630208333335,5.565963652944579,13273.578125,16591.97265625,3,16100,0.8244458462732919,17698.104166666668
draft,2,6,12002_12003,약품+공구,2583.121875,5.936612286500605,15498.731249999999,19373.4140625,4,19100,0.8114518979057591,20664.975
draft,2,7,12001_12002_12003,식량+약품+공구,2507.3953125,5.794521476967614,15044.371874999999,18805.46484375,4,19100,0.7876634489528795,20059.1625
draft,2,8,12004,전력·통신,2557.032291666667,7.932179238028606,15342.193750000002,19177.7421875,4,19100,0.803256217277487,20456.258333333335
draft,2,9,12001_12004,식량+전력·통신,2591.634375,7.767130622548228,15549.806250000001,19437.2578125,4,19100,0.8141259816753927,20733.075
draft,2,10,12002_12004,약품+전력·통신,2974.0182291666665,7.97027511048383,17844.109375,22305.13671875,5,23000,0.7758308423913044,23792.145833333332
draft,2,11,12001_12002_12004,식량+약품+전력·통신,2883.0817708333334,7.959527693829674,17298.490625,21623.11328125,5,23000,0.7521082880434782,23064.654166666667
draft,2,12,12003_12004,공구+전력·통신,3373.3166666666666,8.491630968388618,20239.9,25299.875,6,25200,0.803170634920635,26986.533333333333
draft,2,13,12001_12003_12004,식량+공구+전력·통신,3262.2625,8.461809644485658,19573.574999999997,24466.96875,6,25200,0.7767291666666666,26098.1
draft,2,14,12002_12003_12004,약품+공구+전력·통신,3460.0057291666667,8.34265313592668,20760.034375,25950.04296875,6,25200,0.8238108878968253,27680.045833333334
draft,2,15,12001_12002_12003_12004,식량+약품+공구+전력·통신,3249.25625,8.201807190805146,19495.5375,24369.421875,5,23000,0.8476320652173912,25994.05
draft,2,16,12005,핵보호,6886.1828125,23.839759547236945,41317.096875,51646.37109375,7,50600,0.8165434165019764,55089.4625
draft,2,17,12001_12005,식량+핵보호,7018.073958333333,23.86666865690245,42108.44375,52635.5546875,7,50600,0.8321826828063241,56144.59166666667
draft,2,18,12002_12005,약품+핵보호,7135.910416666667,23.417567999570625,42815.4625,53519.328125,7,50600,0.8461553853754941,57087.28333333333
draft,2,19,12001_12002_12005,식량+약품+핵보호,6674.707291666667,23.39761687516699,40048.24375,50060.3046875,7,50600,0.7914672677865613,53397.65833333333
draft,2,20,12003_12005,공구+핵보호,7348.080729166667,23.061993107711523,44088.484375,55110.60546875,8,56600,0.7789484871908127,58784.645833333336
draft,2,21,12001_12003_12005,식량+공구+핵보호,6880.130208333333,23.068757047591447,41280.78125,51600.9765625,7,50600,0.815825716403162,55041.041666666664
draft,2,22,12002_12003_12005,약품+공구+핵보호,6824.610416666666,22.576985057708722,40947.6625,51184.578125,7,50600,0.8092423418972332,54596.88333333333
draft,2,23,12001_12002_12003_12005,식량+약품+공구+핵보호,6363.359375,22.463671067470134,38180.15625,47725.1953125,7,50600,0.7545485424901186,50906.875
draft,2,24,12004_12005,전력·통신+핵보호,7748.261979166667,22.85650057841477,46489.571875,58111.96484375,8,56600,0.8213705278268552,61986.09583333333
draft,2,25,12001_12004_12005,식량+전력·통신+핵보호,7377.444791666667,23.226219281988946,44264.66875,55330.8359375,8,56600,0.782061285335689,59019.558333333334
draft,2,26,12002_12004_12005,약품+전력·통신+핵보호,7332.034375,22.768538057043173,43992.20625,54990.2578125,8,56600,0.7772474602473499,58656.275
draft,2,27,12001_12002_12004_12005,식량+약품+전력·통신+핵보호,6794.814583333334,22.688543682394506,40768.887500000004,50961.109375,7,50600,0.8057092391304349,54358.51666666667
draft,2,28,12003_12004_12005,공구+전력·통신+핵보호,7493.9578125,22.614386100891757,44963.746875,56204.68359375,8,56600,0.7944124889575971,59951.6625
draft,2,29,12001_12003_12004_12005,식량+공구+전력·통신+핵보호,6954.722916666667,22.380085150694136,41728.3375,52160.421875,7,50600,0.8246707015810277,55637.78333333333
draft,2,30,12002_12003_12004_12005,약품+공구+전력·통신+핵보호,6866.718229166667,21.999867879230052,41200.309375,51500.38671875,7,50600,0.8142353631422924,54933.745833333334
draft,2,31,12001_12002_12003_12004_12005,식량+약품+공구+전력·통신+핵보호,6433.7453125,21.90385419818163,38602.471875,48253.08984375,7,50600,0.7628947010869566,51469.9625
draft,2,32,12006,정밀장비,11351.008854166666,39.971047237411845,68106.053125,85132.56640625,10,83900,0.8117527190107271,90808.07083333333
draft,2,33,12001_12006,식량+정밀장비,11445.7765625,40.13953609608359,68674.65937499999,85843.32421875,10,83900,0.8185299091179975,91566.2125
draft,2,34,12002_12006,약품+정밀장비,11365.194270833334,39.076934185572014,68191.165625,85238.95703125,10,83900,0.8127671707389749,90921.55416666667
draft,2,35,12001_12002_12006,식량+약품+정밀장비,10508.654166666667,38.901577656879795,63051.925,78814.90625,10,83900,0.7515128128724673,84069.23333333334
draft,2,36,12003_12006,공구+정밀장비,11390.609895833333,38.7271324903308,68343.659375,85429.57421875,10,83900,0.8145847362932063,91124.87916666667
draft,2,37,12001_12003_12006,식량+공구+정밀장비,10585.0625,38.42215392214462,63510.375,79387.96875,10,83900,0.7569770560190703,84680.5
draft,2,38,12002_12003_12006,약품+공구+정밀장비,10280.966666666667,37.55229943577269,61685.8,77107.25,9,73100,0.8438549931600547,82247.73333333334
draft,2,39,12001_12002_12003_12006,식량+약품+공구+정밀장비,9524.966666666667,37.51846433149442,57149.8,71437.25,9,73100,0.7818030095759234,76199.73333333334
draft,2,40,12004_12006,전력·통신+정밀장비,11871.302604166667,38.20224691750624,71227.815625,89034.76953125,10,83900,0.8489608536948748,94970.42083333334
draft,2,41,12001_12004_12006,식량+전력·통신+정밀장비,11247.860416666666,38.32832480822714,67487.1625,84358.953125,10,83900,0.8043761918951133,89982.88333333333
draft,2,42,12002_12004_12006,약품+전력·통신+정밀장비,10995.504166666668,37.62529919835067,65973.02500000001,82466.28125,10,83900,0.7863292610250299,87964.03333333334
draft,2,43,12001_12002_12004_12006,식량+약품+전력·통신+정밀장비,10116.475520833334,37.242090300123806,60698.853125,75873.56640625,9,73100,0.8303536679206567,80931.80416666667
draft,2,44,12003_12004_12006,공구+전력·통신+정밀장비,11024.615625,37.13541202569967,66147.69375,82684.6171875,10,83900,0.7884111293206199,88196.925
draft,2,45,12001_12003_12004_12006,식량+공구+전력·통신+정밀장비,10170.353125,36.7995016746283,61022.118749999994,76277.6484375,9,73100,0.8347759062927496,81362.825
draft,2,46,12002_12003_12004_12006,약품+공구+전력·통신+정밀장비,9892.714583333332,36.22008525554794,59356.28749999999,74195.359375,9,73100,0.811987517099863,79141.71666666666
draft,2,47,12001_12002_12003_12004_12006,식량+약품+공구+전력·통신+정밀장비,9205.708854166667,36.109638379183046,55234.253125,69042.81640625,9,73100,0.7555985379616963,73645.67083333334
draft,2,48,12005_12006,핵보호+정밀장비,13827.055729166666,37.45465130739199,82962.334375,103702.91796875,12,103700,0.8000225108486018,110616.44583333333
