demand,phase,before_mask,after_mask,added_facility,mean_before,mean_after,change_rate,target_before,target_after
draft,0,5,37,12006,2381.3854166666665,10038.591145833334,3.2154415978093986,18500,77000
draft,0,6,7,12001,2714.9166666666665,2526.7932291666666,-0.06929252739494762,21000,18500
draft,0,6,14,12004,2714.9166666666665,3505.1348958333333,0.291065371865312,21000,27000
draft,0,6,22,12005,2714.9166666666665,6523.985416666666,1.403014978974186,21000,46800
draft,0,6,38,12006,2714.9166666666665,9714.296354166667,2.578119532520949,21000,77000
draft,0,7,15,12004,2526.7932291666666,3219.0265625,0.2739572535429151,18500,24000
draft,0,7,23,12005,2526.7932291666666,5883.886979166667,1.328598522130426,18500,46800
draft,0,7,39,12006,2526.7932291666666,8648.271354166667,2.4226272471922274,18500,67000
draft,0,8,9,12001,3088.602083333333,2830.765625,-0.08347998588897754,24000,21000
draft,0,8,10,12002,3088.602083333333,3193.280208333333,0.03389174849193499,24000,24000
draft,0,8,12,12003,3088.602083333333,3697.8802083333335,0.19726663019745327,24000,27000
draft,0,8,24,12005,3088.602083333333,8643.325,1.7984585798996178,24000,67000
draft,0,8,40,12006,3088.602083333333,13293.416145833333,3.3040235637886344,24000,101700
draft,0,9,11,12002,2830.765625,2893.1765625,0.02204737013506719,21000,21000
draft,0,9,13,12003,2830.765625,3305.4333333333334,0.1676817409895366,21000,24000
draft,0,9,25,12005,2830.765625,7370.538020833334,1.6037259869698093,21000,55600
draft,0,9,41,12006,2830.765625,11148.107291666667,2.9381950922435225,21000,88400
draft,0,10,11,12001,3193.280208333333,2893.1765625,-0.09397974065982961,24000,21000
draft,0,10,14,12003,3193.280208333333,3505.1348958333333,0.09765966879015808,24000,27000
draft,0,10,26,12005,3193.280208333333,7271.069791666667,1.2769908424233312,24000,55600
draft,0,10,42,12006,3193.280208333333,10796.553125,2.3810227792803187,24000,77000
draft,0,11,15,12003,2893.1765625,3219.0265625,0.11262707026716434,21000,24000
draft,0,11,27,12005,2893.1765625,6456.708333333333,1.2317021425592078,21000,46800
draft,0,11,43,12006,2893.1765625,9478.091666666667,2.27601563952828,21000,67000
draft,0,12,13,12001,3697.8802083333335,3305.4333333333334,-0.1061275252009527,27000,24000
draft,0,12,14,12002,3697.8802083333335,3505.1348958333333,-0.052123189946943205,27000,27000
draft,0,12,28,12005,3697.8802083333335,7401.802083333333,1.001633818924975,27000,55600
draft,0,12,44,12006,3697.8802083333335,10803.794791666667,1.9216183821530635,27000,77000
draft,0,13,15,12002,3305.4333333333334,3219.0265625,-0.026140829997075454,24000,24000
draft,0,13,29,12005,3305.4333333333334,6599.241145833334,0.9964829056704618,24000,46800
draft,0,13,45,12006,3305.4333333333334,9482.0890625,1.8686372122162496,24000,67000
draft,0,14,15,12001,3505.1348958333333,3219.0265625,-0.08162548427834815,27000,24000
draft,0,14,30,12005,3505.1348958333333,6554.9765625,0.8701067882700069,27000,46800
draft,0,14,46,12006,3505.1348958333333,9268.290104166666,1.6442035412629,27000,67000
draft,0,15,31,12005,3219.0265625,5981.1125,0.8580500607472077,24000,46800
draft,0,15,47,12006,3219.0265625,8376.085416666667,1.6020553897391663,24000,67000
draft,0,16,17,12001,8892.139583333334,7404.648958333333,-0.16728151993790397,67000,55600
draft,0,16,18,12002,8892.139583333334,7323.665104166666,-0.17638887294419914,67000,55600
draft,0,16,20,12003,8892.139583333334,7563.7125,-0.1493934132369249,67000,55600
draft,0,16,24,12004,8892.139583333334,8643.325,-0.02798140773674873,67000,67000
draft,0,16,48,12006,8892.139583333334,15893.83125,0.7874023569974136,67000,115300
draft,0,17,19,12002,7404.648958333333,6364.229166666667,-0.1405089961078787,55600,46800
draft,0,17,21,12003,7404.648958333333,6585.222395833333,-0.11066379609769372,55600,46800
draft,0,17,25,12004,7404.648958333333,7370.538020833334,-0.00460669205143216,55600,55600
draft,0,17,49,12006,7404.648958333333,13511.277604166668,0.8247019784727023,55600,101700
draft,0,18,19,12001,7323.665104166666,6364.229166666667,-0.13100488947182276,55600,46800
draft,0,18,22,12003,7323.665104166666,6523.985416666666,-0.10919118721649856,55600,46800
draft,0,18,26,12004,7323.665104166666,7271.069791666667,-0.0071815561951456,55600,55600
draft,0,18,50,12006,7323.665104166666,13023.801041666668,0.7783173938766004,55600,101700
draft,0,19,23,12003,6364.229166666667,5883.886979166667,-0.07547531286520037,46800,46800
draft,0,19,27,12004,6364.229166666667,6456.708333333333,0.014531086836256035,46800,46800
draft,0,19,51,12006,6364.229166666667,11495.3734375,0.8062475653309678,46800,88400
draft,0,20,21,12001,7563.7125,6585.222395833333,-0.12936637982560362,55600,46800
draft,0,20,22,12002,7563.7125,6523.985416666666,-0.13746253355522609,55600,46800
draft,0,20,28,12004,7563.7125,7401.802083333333,-0.021406209803276677,55600,55600
draft,0,20,52,12006,7563.7125,12903.421354166667,0.7059640162376171,55600,101700
draft,0,21,23,12002,6585.222395833333,5883.886979166667,-0.10650140185249057,46800,46800
draft,0,21,29,12004,6585.222395833333,6599.241145833334,0.00212881952306887,46800,46800
draft,0,21,53,12006,6585.222395833333,11440.8515625,0.7373523435957103,46800,88400
draft,0,22,23,12001,6523.985416666666,5883.886979166667,-0.0981146334056413,46800,46800
draft,0,22,30,12004,6523.985416666666,6554.9765625,0.004750339532360259,46800,46800
draft,0,22,54,12006,6523.985416666666,11164.015104166667,0.7112262506973468,46800,88400
draft,0,23,31,12004,5883.886979166667,5981.1125,0.016524029298588427,46800,46800
draft,0,23,55,12006,5883.886979166667,10129.053125,0.721490089946387,46800,77000
draft,0,24,25,12001,8643.325,7370.538020833334,-0.1472566378293848,67000,55600
draft,0,24,26,12002,8643.325,7271.069791666667,-0.15876473560040072,67000,55600
draft,0,24,28,12003,8643.325,7401.802083333333,-0.14363950408745108,67000,55600
draft,0,24,56,12006,8643.325,14209.486979166666,0.6439838811067113,67000,101700
draft,0,25,27,12002,7370.538020833334,6456.708333333333,-0.12398412231468015,55600,46800
draft,0,25,29,12003,7370.538020833334,6599.241145833334,-0.10464593939002498,55600,46800
draft,0,25,57,12006,7370.538020833334,12425.447916666666,0.6858264459860706,55600,88400
draft,0,26,27,12001,7271.069791666667,6456.708333333333,-0.11200022578062296,55600,46800
draft,0,26,30,12003,7271.069791666667,6554.9765625,-0.09848526416117986,55600,46800
draft,0,26,58,12006,7271.069791666667,12096.9953125,0.6637160224158898,55600,88400
draft,0,27,31,12003,6456.708333333333,5981.1125,-0.07365917876110761,46800,46800
draft,0,27,59,12006,6456.708333333333,10833.632291666667,0.6778878233878203,46800,77000
draft,0,28,29,12001,7401.802083333333,6599.241145833334,-0.10842777589353936,55600,46800
draft,0,28,30,12002,7401.802083333333,6554.9765625,-0.11440802000638917,55600,46800
draft,0,28,60,12006,7401.802083333333,11985.402083333332,0.6192546015680302,55600,88400
draft,0,29,31,12002,6599.241145833334,5981.1125,-0.09366662502151646,46800,46800
draft,0,29,61,12006,6599.241145833334,10806.269791666668,0.6375018813321576,46800,77000
draft,0,30,31,12001,6554.9765625,5981.1125,-0.08754631798120938,46800,46800
draft,0,30,62,12006,6554.9765625,10585.118229166666,0.614821674530841,46800,77000
draft,0,31,63,12006,5981.1125,9706.944270833334,0.622932902672092,46800,77000
draft,0,32,33,12001,14844.569791666667,12090.243229166666,-0.18554438432066944,115300,88400
draft,0,32,34,12002,14844.569791666667,11655.440625,-0.21483473158359612,115300,88400
draft,0,32,36,12003,14844.569791666667,11718.348958333334,-0.21059693054145,115300,88400
draft,0,32,40,12004,14844.569791666667,13293.416145833333,-0.10449300098303349,115300,101700
draft,0,32,48,12005,14844.569791666667,15893.83125,0.07068318402345075,115300,115300
draft,0,33,35,12002,12090.243229166666,9952.525,-0.176813500658912,88400,77000
draft,0,33,37,12003,12090.243229166666,10038.591145833334,-0.1696948559631869,88400,77000
draft,0,33,41,12004,12090.243229166666,11148.107291666667,-0.0779253088330909,88400,88400
draft,0,33,49,12005,12090.243229166666,13511.277604166668,0.11753563167131986,88400,101700
draft,0,34,35,12001,11655.440625,9952.525,-0.1461047831471407,88400,77000
draft,0,34,38,12003,11655.440625,9714.296354166667,-0.1665440486796983,88400,77000
draft,0,34,42,12004,11655.440625,10796.553125,-0.07368983529955553,88400,77000
draft,0,34,50,12005,11655.440625,13023.801041666668,0.11740100273271903,88400,101700
draft,0,35,39,12003,9952.525,8648.271354166667,-0.13104751264963743,77000,67000
draft,0,35,43,12004,9952.525,9478.091666666667,-0.04766964497284176,77000,67000
draft,0,35,51,12005,9952.525,11495.3734375,0.15502080502184135,77000,88400
draft,0,36,37,12001,11718.348958333334,10038.591145833334,-0.14334423889173098,88400,77000
draft,0,36,38,12002,11718.348958333334,9714.296354166667,-0.17101834151657636,88400,77000
draft,0,36,44,12004,11718.348958333334,10803.794791666667,-0.07804462641610399,88400,77000
draft,0,36,52,12005,11718.348958333334,12903.421354166667,0.10112963865874525,88400,101700
draft,0,37,39,12002,10038.591145833334,8648.271354166667,-0.13849750143910777,77000,67000
draft,0,37,45,12004,10038.591145833334,9482.0890625,-0.055436273402201364,77000,67000
draft,0,37,53,12005,10038.591145833334,11440.8515625,0.1396869736296309,77000,88400
draft,0,38,39,12001,9714.296354166667,8648.271354166667,-0.10973774745329434,77000,67000
draft,0,38,46,12004,9714.296354166667,9268.290104166666,-0.04591235780126257,77000,67000
draft,0,38,54,12005,9714.296354166667,11164.015104166667,0.1492355902214353,77000,88400
draft,0,39,47,12004,8648.271354166667,8376.085416666667,-0.031472872017234255,67000,67000
draft,0,39,55,12005,8648.271354166667,10129.053125,0.1712228617942133,67000,77000
draft,0,40,41,12001,13293.416145833333,11148.107291666667,-0.16138130565024766,101700,88400
draft,0,40,42,12002,13293.416145833333,10796.553125,-0.18782704110379822,101700,77000
draft,0,40,44,12003,13293.416145833333,10803.794791666667,-0.18728228521959034,101700,77000
draft,0,40,56,12005,13293.416145833333,14209.486979166666,0.06891161935229606,101700,101700
draft,0,41,43,12002,11148.107291666667,9478.091666666667,-0.1498026150365771,88400,67000
draft,0,41,45,12003,11148.107291666667,9482.0890625,-0.14944404333209416,88400,67000
draft,0,41,57,12005,11148.107291666667,12425.447916666666,0.11457914707681582,88400,88400
draft,0,42,43,12001,10796.553125,9478.091666666667,-0.12211873947809926,77000,67000
draft,0,42,46,12003,10796.553125,9268.290104166666,-0.14155101198868358,77000,67000
draft,0,42,58,12005,10796.553125,12096.9953125,0.12044975581037565,77000,88400
draft,0,43,47,12003,9478.091666666667,8376.085416666667,-0.11626879004300272,67000,67000
draft,0,43,59,12005,9478.091666666667,10833.632291666667,0.14301830713109442,67000,77000
draft,0,44,45,12001,10803.794791666667,9482.0890625,-0.1223371745440911,77000,67000
draft,0,44,46,12002,10803.794791666667,9268.290104166666,-0.14212642105016537,77000,67000
draft,0,44,60,12005,10803.794791666667,11985.402083333332,0.10936965339049931,77000,88400
draft,0,45,47,12002,9482.0890625,8376.085416666667,-0.11664134754939004,67000,67000
draft,0,45,61,12005,9482.0890625,10806.269791666668,0.1396507373468543,67000,77000
draft,0,46,47,12001,9268.290104166666,8376.085416666667,-0.09626421675114583,67000,67000
draft,0,46,62,12005,9268.290104166666,10585.118229166666,0.14207886354442056,67000,77000
draft,0,47,63,12005,8376.085416666667,9706.944270833334,0.1588879277088715,67000,77000
draft,0,48,49,12001,15893.83125,13511.277604166668,-0.14990429987315568,115300,101700
draft,0,48,50,12002,15893.83125,13023.801041666668,-0.18057510257845044,115300,101700
draft,0,48,52,12003,15893.83125,12903.421354166667,-0.1881490905997465,115300,101700
draft,0,48,56,12004,15893.83125,14209.486979166666,-0.10597471713016537,115300,101700
draft,0,49,51,12002,13511.277604166668,11495.3734375,-0.14920159482512552,101700,88400
draft,0,49,53,12003,13511.277604166668,11440.8515625,-0.1532368812426872,101700,88400
draft,0,49,57,12004,13511.277604166668,12425.447916666666,-0.08036469379958178,101700,88400
draft,0,50,51,12001,13023.801041666668,11495.3734375,-0.11735649210831867,101700,88400
draft,0,50,54,12003,13023.801041666668,11164.015104166667,-0.14279901324890032,101700,88400
draft,0,50,58,12004,13023.801041666668,12096.9953125,-0.0711624606519683,101700,88400
draft,0,51,55,12003,11495.3734375,10129.053125,-0.11885827980523145,88400,77000
draft,0,51,59,12004,11495.3734375,10833.632291666667,-0.057565867645031354,88400,77000
draft,0,52,53,12001,12903.421354166667,11440.8515625,-0.1133474410796006,101700,88400
draft,0,52,54,12002,12903.421354166667,11164.015104166667,-0.13480194145859814,101700,88400
draft,0,52,60,12004,12903.421354166667,11985.402083333332,-0.07114541528452023,101700,88400
draft,0,53,55,12002,11440.8515625,10129.053125,-0.11465916066944859,88400,77000
draft,0,53,61,12004,11440.8515625,10806.269791666668,-0.055466305752389866,88400,77000
draft,0,54,55,12001,11164.015104166667,10129.053125,-0.09270517546867119,88400,77000
draft,0,54,62,12004,11164.015104166667,10585.118229166666,-0.05185382405868855,88400,77000
draft,0,55,63,12004,10129.053125,9706.944270833334,-0.04167308127991154,77000,77000
draft,0,56,57,12001,14209.486979166666,12425.447916666666,-0.12555267231784517,101700,88400
draft,0,56,58,12002,14209.486979166666,12096.9953125,-0.14866769432027427,101700,88400
draft,0,56,60,12003,14209.486979166666,11985.402083333332,-0.15652112557576425,101700,88400
draft,0,57,59,12002,12425.447916666666,10833.632291666667,-0.1281093153080497,88400,77000
draft,0,57,61,12003,12425.447916666666,10806.269791666668,-0.1303114492016132,88400,77000
draft,0,58,59,12001,12096.9953125,10833.632291666667,-0.10443610071733112,88400,77000
draft,0,58,62,12003,12096.9953125,10585.118229166666,-0.12497955436678465,88400,77000
draft,0,59,63,12003,10833.632291666667,9706.944270833334,-0.10399910117865019,77000,77000
draft,0,60,61,12001,11985.402083333332,10806.269791666668,-0.09838070374846608,88400,77000
draft,0,60,62,12002,11985.402083333332,10585.118229166666,-0.11683244704104445,88400,77000
draft,0,61,63,12002,10806.269791666668,9706.944270833334,-0.10173034192437869,77000,77000
draft,0,62,63,12001,10585.118229166666,9706.944270833334,-0.08296307507587175,77000,77000
draft,1,0,1,12001,811.9734375,1068.2927083333334,0.3156744531231459,6100,8000
draft,1,0,2,12002,811.9734375,1720.5786458333334,1.119008536942852,6100,13100
draft,1,0,4,12003,811.9734375,2436.4583333333335,2.0006626089087223,6100,18900
draft,1,0,8,12004,811.9734375,2857.7625,2.519527078125631,6100,21500
draft,1,0,16,12005,811.9734375,7668.096354166667,8.443777345446312,6100,55300
draft,1,0,32,12006,811.9734375,12700.170833333334,14.641116133596837,6100,96700
draft,1,1,3,12002,1068.2927083333334,1783.9630208333333,0.6699196829832645,8000,13100
draft,1,1,5,12003,1068.2927083333334,2421.403125,1.2666101772590803,8000,18900
draft,1,1,9,12004,1068.2927083333334,2869.6588541666665,1.6862102790570233,8000,21500
draft,1,1,17,12005,1068.2927083333334,7147.05625,5.690166650252885,8000,55300
draft,1,1,33,12006,1068.2927083333334,11619.334895833334,9.876546105009844,8000,84300
draft,1,2,3,12001,1720.5786458333334,1783.9630208333333,0.03683898736828772,13100,13100
draft,1,2,6,12003,1720.5786458333334,2751.2734375,0.5990396278383816,13100,21500
draft,1,2,10,12004,1720.5786458333334,3222.3328125,0.8728192520018851,13100,25500
draft,1,2,18,12005,1720.5786458333334,7071.527604166667,3.1099705737320082,13100,55300
draft,1,2,34,12006,1720.5786458333334,11224.213541666666,5.5235108949236125,13100,84300
draft,1,3,7,12003,1783.9630208333333,2605.534375,0.4605316055166271,13100,18900
draft,1,3,11,12004,1783.9630208333333,2993.7364583333333,0.6781381807650277,13100,21500
draft,1,3,19,12005,1783.9630208333333,6380.501041666666,2.5765881731596525,13100,46800
draft,1,3,35,12006,1783.9630208333333,9936.5796875,4.569947118555393,13100,74500
draft,1,4,5,12001,2436.4583333333335,2421.403125,-0.006179136383069772,18900,18900
draft,1,4,6,12002,2436.4583333333335,2751.2734375,0.12921013253527147,18900,21500
draft,1,4,12,12004,2436.4583333333335,3698.2916666666665,0.517896536981616,18900,27700
draft,1,4,20,12005,2436.4583333333335,7197.983333333334,1.954281316802052,18900,55300
draft,1,4,36,12006,2436.4583333333335,10954.124479166667,3.495921120136811,18900,84300
draft,1,5,7,12002,2421.403125,2605.534375,0.07604320325637648,18900,18900
draft,1,5,13,12004,2421.403125,3417.4875,0.41136660175079287,18900,25500
draft,1,5,21,12005,2421.403125,6510.7484375,1.6888329209949298,18900,46800
draft,1,5,37,12006,2421.403125,9777.182291666666,3.03781683054806,18900,74500
draft,1,6,7,12001,2751.2734375,2605.534375,-0.0529714933141755,21500,18900
draft,1,6,14,12004,2751.2734375,3578.3880208333335,0.300629727332703,21500,25500
draft,1,6,22,12005,2751.2734375,6426.676041666667,1.3358914290636248,21500,46800
draft,1,6,38,12006,2751.2734375,9442.2203125,2.4319454343585214,21500,74500
draft,1,7,15,12004,2605.534375,3345.272395833333,0.28391029031552617,18900,25500
draft,1,7,23,12005,2605.534375,5909.665104166666,1.2681201832797413,18900,46800
draft,1,7,39,12006,2605.534375,8606.653645833334,2.303220148777862,18900,64500
draft,1,8,9,12001,2857.7625,2869.6588541666665,0.004162821146497242,21500,21500
draft,1,8,10,12002,2857.7625,3222.3328125,0.1275719422100332,21500,25500
draft,1,8,12,12003,2857.7625,3698.2916666666665,0.2941214207502081,21500,27700
draft,1,8,24,12005,2857.7625,8138.1453125,1.8477332572248395,21500,64500
draft,1,8,40,12006,2857.7625,12278.5359375,3.2965557625939876,21500,96700
draft,1,9,11,12002,2869.6588541666665,2993.7364583333333,0.04323775419733589,21500,21500
draft,1,9,13,12003,2869.6588541666665,3417.4875,0.19090375325899855,21500,25500
draft,1,9,25,12005,2869.6588541666665,7289.5265625,1.540206670181651,21500,55300
draft,1,9,41,12006,2869.6588541666665,10909.466145833334,2.801659604936345,21500,84300
draft,1,10,11,12001,3222.3328125,2993.7364583333333,-0.07094126133709744,25500,21500
draft,1,10,14,12003,3222.3328125,3578.3880208333335,0.1104960998913993,25500,25500
draft,1,10,26,12005,3222.3328125,7146.327604166667,1.2177496925347984,25500,55300
draft,1,10,42,12006,3222.3328125,10495.359895833333,2.2570688710737676,25500,74500
draft,1,11,15,12003,2993.7364583333333,3345.272395833333,0.11742380880637238,21500,25500
draft,1,11,27,12005,2993.7364583333333,6493.011458333333,1.1688654124044402,21500,46800
draft,1,11,43,12006,2993.7364583333333,9490.205208333333,2.170020254093007,21500,74500
draft,1,12,13,12001,3698.2916666666665,3417.4875,-0.07592807489944675,27700,25500
draft,1,12,14,12002,3698.2916666666665,3578.3880208333335,-0.032421360087427686,27700,25500
draft,1,12,28,12005,3698.2916666666665,7203.7109375,0.9478482463750155,27700,55300
draft,1,12,44,12006,3698.2916666666665,10267.1875,1.7761973433679965,27700,74500
draft,1,13,15,12002,3417.4875,3345.272395833333,-0.021131051442519366,25500,25500
draft,1,13,29,12005,3417.4875,6564.435416666666,0.9208367014266083,25500,46800
draft,1,13,45,12006,3417.4875,9332.408854166666,1.730780684396553,25500,74500
draft,1,14,15,12001,3578.3880208333335,3345.272395833333,-0.06514542962999093,25500,25500
draft,1,14,30,12005,3578.3880208333335,6483.398958333333,0.8118211106752704,25500,46800
draft,1,14,46,12006,3578.3880208333335,9069.90625,1.534634644760465,25500,64500
draft,1,15,31,12005,3345.272395833333,6016.960416666667,0.7986458813222579,25500,46800
draft,1,15,47,12006,3345.272395833333,8367.9703125,1.501431669039159,25500,64500
draft,1,16,17,12001,7668.096354166667,7147.05625,-0.06794908150620016,55300,55300
draft,1,16,18,12002,7668.096354166667,7071.527604166667,-0.07779880721971344,55300,55300
draft,1,16,20,12003,7668.096354166667,7197.983333333334,-0.06130765696206786,55300,55300
draft,1,16,24,12004,7668.096354166667,8138.1453125,0.061299302541747425,55300,64500
draft,1,16,48,12006,7668.096354166667,15061.525,0.9641804568373626,55300,113000
draft,1,17,19,12002,7147.05625,6380.501041666666,-0.10725467682352907,55300,46800
draft,1,17,21,12003,7147.05625,6510.7484375,-0.08903075479502476,55300,46800
draft,1,17,25,12004,7147.05625,7289.5265625,0.019934124976279666,55300,55300
draft,1,17,49,12006,7147.05625,13176.238541666668,0.8435895955998203,55300,96700
draft,1,18,19,12001,7071.527604166667,6380.501041666666,-0.09771955950406463,55300,46800
draft,1,18,22,12003,7071.527604166667,6426.676041666667,-0.09118985297038817,55300,46800
draft,1,18,26,12004,7071.527604166667,7146.327604166667,0.010577629641992381,55300,55300
draft,1,18,50,12006,7071.527604166667,12606.85625,0.7827627855927228,55300,96700
draft,1,19,23,12003,6380.501041666666,5909.665104166666,-0.07379294109119239,46800,46800
draft,1,19,27,12004,6380.501041666666,6493.011458333333,0.017633476733557307,46800,46800
draft,1,19,51,12006,6380.501041666666,11393.9796875,0.7857499925309548,46800,84300
draft,1,20,21,12001,7197.983333333334,6510.7484375,-0.09547603321763731,55300,46800
draft,1,20,22,12002,7197.983333333334,6426.676041666667,-0.1071560263407112,55300,46800
draft,1,20,28,12004,7197.983333333334,7203.7109375,0.0007957234549491599,55300,55300
draft,1,20,52,12006,7197.983333333334,12196.389583333334,0.6944175915013233,55300,96700
draft,1,21,23,12002,6510.7484375,5909.665104166666,-0.09232169528640832,46800,46800
draft,1,21,29,12004,6510.7484375,6564.435416666666,0.008245899788946742,46800,46800
draft,1,21,53,12006,6510.7484375,11091.005208333334,0.7034915900685701,46800,84300
draft,1,22,23,12001,6426.676041666667,5909.665104166666,-0.08044764263018944,46800,46800
draft,1,22,30,12004,6426.676041666667,6483.398958333333,0.00882616710394446,46800,46800
draft,1,22,54,12006,6426.676041666667,10727.796875,0.6692605641621698,46800,84300
draft,1,23,31,12004,5909.665104166666,6016.960416666667,0.0181559040332675,46800,46800
draft,1,23,55,12006,5909.665104166666,9943.556770833333,0.6825922612471784,46800,74500
draft,1,24,25,12001,8138.1453125,7289.5265625,-0.10427667698394882,64500,55300
draft,1,24,26,12002,8138.1453125,7146.327604166667,-0.12187269583524452,64500,55300
draft,1,24,28,12003,8138.1453125,7203.7109375,-0.11482153968972886,64500,55300
draft,1,24,56,12006,8138.1453125,13595.653125,0.670608302375407,64500,96700
draft,1,25,27,12002,7289.5265625,6493.011458333333,-0.10926842742630682,55300,46800
draft,1,25,29,12003,7289.5265625,6564.435416666666,-0.09947026595162833,55300,46800
draft,1,25,57,12006,7289.5265625,12185.0953125,0.6715893972023645,55300,96700
draft,1,26,27,12001,7146.327604166667,6493.011458333333,-0.09141984275285919,55300,46800
draft,1,26,30,12003,7146.327604166667,6483.398958333333,-0.09276493921812556,55300,46800
draft,1,26,58,12006,7146.327604166667,11739.748958333334,0.6427666920123383,55300,84300
draft,1,27,31,12003,6493.011458333333,6016.960416666667,-0.07331744980300137,46800,46800
draft,1,27,59,12006,6493.011458333333,10772.766145833333,0.6591324711135738,46800,84300
draft,1,28,29,12001,7203.7109375,6564.435416666666,-0.08874252817467854,55300,46800
draft,1,28,30,12002,7203.7109375,6483.398958333333,-0.09999179387070833,55300,46800
draft,1,28,60,12006,7203.7109375,11401.058333333332,0.5826646060967562,55300,84300
draft,1,29,31,12002,6564.435416666666,6016.960416666667,-0.0834001654750075,46800,46800
draft,1,29,61,12006,6564.435416666666,10525.802604166667,0.6034589322704511,46800,74500
draft,1,30,31,12001,6483.398958333333,6016.960416666667,-0.07194351985190373,46800,46800
draft,1,30,62,12006,6483.398958333333,10240.096875,0.5794334022647263,46800,74500
draft,1,31,63,12006,6016.960416666667,9549.459375,0.587090277102122,46800,74500
draft,1,32,33,12001,12700.170833333334,11619.334895833334,-0.08510404715684594,96700,84300
draft,1,32,34,12002,12700.170833333334,11224.213541666666,-0.11621554631318942,96700,84300
draft,1,32,36,12003,12700.170833333334,10954.124479166667,-0.13748211556209378,96700,84300
draft,1,32,40,12004,12700.170833333334,12278.5359375,-0.0331991515205996,96700,96700
draft,1,32,48,12005,12700.170833333334,15061.525,0.18593089791115003,96700,113000
draft,1,33,35,12002,11619.334895833334,9936.5796875,-0.14482371180615217,84300,74500
draft,1,33,37,12003,11619.334895833334,9777.182291666666,-0.15854200095629045,84300,74500
draft,1,33,41,12004,11619.334895833334,10909.466145833334,-0.061093750749413145,84300,84300
draft,1,33,49,12005,11619.334895833334,13176.238541666668,0.13399249266768587,84300,96700
draft,1,34,35,12001,11224.213541666666,9936.5796875,-0.11471929408565651,84300,74500
draft,1,34,38,12003,11224.213541666666,9442.2203125,-0.15876330422185292,84300,74500
draft,1,34,42,12004,11224.213541666666,10495.359895833333,-0.06493583208548848,84300,74500
draft,1,34,50,12005,11224.213541666666,12606.85625,0.12318392760443042,84300,96700
draft,1,35,39,12003,9936.5796875,8606.653645833334,-0.13384143070272803,74500,64500
draft,1,35,43,12004,9936.5796875,9490.205208333333,-0.04492234684417573,74500,74500
draft,1,35,51,12005,9936.5796875,11393.9796875,0.14667018690881894,74500,84300
draft,1,36,37,12001,10954.124479166667,9777.182291666666,-0.10744283486447437,84300,74500
draft,1,36,38,12002,10954.124479166667,9442.2203125,-0.13802145206055616,84300,74500
draft,1,36,44,12004,10954.124479166667,10267.1875,-0.06271034992099389,84300,74500
draft,1,36,52,12005,10954.124479166667,12196.389583333334,0.11340615185899106,84300,96700
draft,1,37,39,12002,9777.182291666666,8606.653645833334,-0.11972044817360139,74500,64500
draft,1,37,45,12004,9777.182291666666,9332.408854166666,-0.0454909629617003,74500,74500
