demand,phase,band,count,min_mean,max_mean,representative,target,min_achievement6,max_achievement6,masks
draft,2,7,11,6363.359375,7135.910416666667,6746.666666666667,50600,0.7545485424901186,0.8461553853754941,23_31_19_27_22_30_21_16_29_17_18
draft,2,8,5,7332.034375,7748.261979166667,7546.666666666667,56600,0.7772474602473499,0.8213705278268552,26_20_25_28_24
draft,2,9,8,9205.708854166667,10290.9171875,9746.666666666666,73100,0.7555985379616963,0.844671725376197,47_39_46_63_43_45_38_55
draft,2,10,18,10508.654166666667,11871.302604166667,11186.666666666666,83900,0.7515128128724673,0.8489608536948748,35_37_62_61_59_42_54_44_41_53_51_32_34_36_33_60_58_40
draft,2,11,5,12132.390625,13247.331770833332,12693.333333333334,95200,0.7646464679621848,0.8349158679096638,57_52_50_49_56
draft,2,12,1,13827.055729166666,13827.055729166666,13826.666666666666,103700,0.8000225108486018,0.8000225108486018,48
flat,0,0,1,805.9104166666667,805.9104166666667,800.0,6000,0.8059104166666667,0.8059104166666667,0
flat,0,1,1,1122.3833333333334,1122.3833333333334,1120.0,8400,0.8017023809523811,0.8017023809523811,1
flat,0,2,2,1820.4427083333333,1840.7442708333333,1826.6666666666667,13700,0.7972741788321168,0.8061653740875913,3_2
flat,0,3,4,2430.547395833333,2743.5661458333334,2586.6666666666665,19400,0.7517156894329896,0.8485256121134019,5_7_4_6
flat,0,4,5,2917.7630208333335,3270.3958333333335,3093.3333333333335,23200,0.7545938846982758,0.8457920258620689,9_11_8_10_15
flat,0,5,3,3373.6442708333334,3745.126041666667,3560.0,26700,0.7581223080524344,0.8416013576779027,13_14_12
flat,0,6,8,6228.7828125,6981.499479166667,6600.0,49500,0.7550039772727272,0.8462423611111111,23_31_19_27_30_22_29_21
flat,0,7,6,7596.528125,7956.338541666667,7773.333333333333,58300,0.7818039236706689,0.8188341552315609,26_28_18_25_20_17
flat,0,8,6,8884.1609375,10042.983854166667,9466.666666666666,71000,0.7507741637323945,0.848702860915493,47_24_39_16_46_45
flat,0,9,11,10118.457291666668,11377.713541666666,10746.666666666666,80600,0.7532350341191069,0.8469761941687345,43_63_38_55_37_35_62_61_44_59_42
flat,0,10,10,11581.365625,13045.120833333332,12306.666666666666,92300,0.752851503250271,0.8480035211267605,54_41_53_51_36_60_34_58_57_33
flat,0,11,5,13287.359375,14594.663541666667,13946.666666666666,104600,0.7621812260994264,0.8371699928298278,52_50_40_49_56
flat,0,12,2,15653.864583333334,16285.371875,15973.333333333334,119800,0.7839998956594324,0.815627973706177,32_48
flat,1,0,1,810.6104166666667,810.6104166666667,813.3333333333334,6100,0.7973217213114755,0.7973217213114755,0
flat,1,1,1,1071.6322916666666,1071.6322916666666,1066.6666666666667,8000,0.8037242187499999,0.8037242187499999,1
flat,1,2,2,1706.5703125,1773.9296875,1746.6666666666667,13100,0.7816352576335878,0.8124868797709923,2_3
flat,1,3,3,2329.6369791666666,2534.9546875,2426.6666666666665,18200,0.7680121909340659,0.8356993475274727,5_4_7
flat,1,4,4,2684.1015625,2899.746875,2786.6666666666665,20900,0.7705554724880382,0.8324632177033492,6_8_9_11
flat,1,5,4,3125.5682291666667,3495.1130208333334,3306.6666666666665,24800,0.7561858618951612,0.8455918598790322,10_15_13_14
flat,1,6,1,3593.503125,3593.503125,3600.0,27000,0.7985562500000001,0.7985562500000001,12
flat,1,7,8,6039.273958333333,6707.040625,6373.333333333333,47800,0.7580678608786612,0.8418879445606693,23_31_19_27_22_30_21_29
flat,1,8,7,7180.3140625,7732.913541666667,7453.333333333333,55900,0.7706956059928443,0.8300086091234347,18_17_26_25_28_20_16
flat,1,9,3,8254.636458333332,8880.266666666666,8573.333333333334,64300,0.7702615668740278,0.8286407465007776,24_47_39
flat,1,10,9,9439.4203125,10558.241666666667,10000.0,75000,0.755153625,0.8446593333333333,46_45_43_63_38_35_37_55_62
flat,1,11,13,10750.028125,11922.048958333333,11333.333333333334,85000,0.7588255147058824,0.8415563970588235,44_42_61_59_54_41_53_51_36_34_33_60_58
flat,1,12,7,12280.959895833334,13759.559375,13026.666666666666,97700,0.7542042924769703,0.8450087640736951,57_52_40_50_32_49_56
flat,1,13,1,15039.491666666667,15039.491666666667,15040.0,112800,0.7999729609929078,0.7999729609929078,48
flat,2,0,1,812.1828125,812.1828125,813.3333333333334,6100,0.7988683401639343,0.7988683401639343,0
flat,2,1,1,1045.6421875,1045.6421875,1040.0,7800,0.8043401442307693,0.8043401442307693,1
flat,2,2,2,1538.265625,1704.9567708333334,1626.6666666666667,12200,0.7565240778688525,0.8385033299180328,2_3
flat,2,3,2,2055.696354166667,2198.459895833333,2133.3333333333335,16000,0.7708861328125002,0.8244224609374998,4_5
flat,2,4,4,2488.8072916666665,2566.6213541666666,2533.3333333333335,19000,0.7859391447368421,0.8105120065789474,7_8_9_6
flat,2,5,2,2847.5078125,2939.25625,2893.3333333333335,21700,0.7873293490783411,0.8126975806451612,11_10
flat,2,6,4,3218.8640625,3436.6911458333334,3333.3333333333335,25000,0.7725273749999999,0.8248058749999999,15_13_12_14
flat,2,7,11,5855.2921875,6581.299479166667,6213.333333333333,46600,0.7539002816523606,0.8473776153433477,23_31_19_16_27_21_22_17_30_29_18
flat,2,8,5,6805.2109375,7213.1578125,7013.333333333333,52600,0.776259802756654,0.8227936668250949,20_25_26_28_24
flat,2,9,7,8387.394791666668,9393.2703125,8893.333333333334,66700,0.7544882871064469,0.8449718422038981,47_39_46_43_45_63_38
flat,2,10,16,9493.717708333334,10632.271354166667,10066.666666666666,75500,0.7544676324503311,0.8449487168874172,35_37_55_62_42_44_61_32_59_41_33_34_36_54_53_51
flat,2,11,7,10905.605208333332,12039.021875,11466.666666666666,86000,0.7608561773255813,0.8399317587209303,40_60_58_57_52_50_49
flat,2,12,2,12755.382291666667,13346.601041666667,13053.333333333334,97900,0.7817394662921348,0.8179735061287027,56_48
