demand,phase,mask,active_guidelines,assumed_violations,penalty,exact_target,sales6,penalty_per_exact_target,penalty_per_sales6
draft,1,0,1,0,0,6089.80078125,4871.840625000001,0.0,0.0
draft,1,0,1,1,500,6089.80078125,4871.840625000001,0.08210449207787868,0.10263061509734833
draft,1,0,1,2,1000,6089.80078125,4871.840625000001,0.16420898415575735,0.20526123019469666
draft,1,0,1,3,1500,6089.80078125,4871.840625000001,0.24631347623363603,0.307891845292045
draft,1,0,1,6,3000,6089.80078125,4871.840625000001,0.49262695246727206,0.61578369058409
draft,1,1,1,0,0,8012.1953125,6409.75625,0.0,0.0
draft,1,1,1,1,500,8012.1953125,6409.75625,0.062404869139914644,0.0780060864248933
draft,1,1,1,2,1000,8012.1953125,6409.75625,0.12480973827982929,0.1560121728497866
draft,1,1,1,3,1500,8012.1953125,6409.75625,0.18721460741974394,0.2340182592746799
draft,1,1,1,6,3000,8012.1953125,6409.75625,0.3744292148394879,0.4680365185493598
draft,1,2,1,0,0,12904.33984375,10323.471875000001,0.0,0.0
draft,1,2,1,1,500,12904.33984375,10323.471875000001,0.03874665469556481,0.04843331836945601
draft,1,2,1,2,1000,12904.33984375,10323.471875000001,0.07749330939112963,0.09686663673891202
draft,1,2,1,3,1500,12904.33984375,10323.471875000001,0.11623996408669443,0.14529995510836802
draft,1,2,1,6,3000,12904.33984375,10323.471875000001,0.23247992817338886,0.29059991021673603
draft,1,3,1,0,0,13379.72265625,10703.778125,0.0,0.0
draft,1,3,1,1,500,13379.72265625,10703.778125,0.03736998238647627,0.04671247798309534
draft,1,3,1,2,1000,13379.72265625,10703.778125,0.07473996477295254,0.09342495596619067
draft,1,3,1,3,1500,13379.72265625,10703.778125,0.1121099471594288,0.14013743394928602
draft,1,3,1,6,3000,13379.72265625,10703.778125,0.2242198943188576,0.28027486789857203
draft,1,4,1,0,0,18273.4375,14618.75,0.0,0.0
draft,1,4,1,1,500,18273.4375,14618.75,0.027362120564343735,0.034202650705429674
draft,1,4,1,2,1000,18273.4375,14618.75,0.05472424112868747,0.06840530141085935
draft,1,4,1,3,1500,18273.4375,14618.75,0.08208636169303121,0.10260795211628901
draft,1,4,1,6,3000,18273.4375,14618.75,0.16417272338606242,0.20521590423257802
draft,1,5,1,0,0,18160.5234375,14528.418749999999,0.0,0.0
draft,1,5,1,1,500,18160.5234375,14528.418749999999,0.027532246067728465,0.03441530758466058
draft,1,5,1,2,1000,18160.5234375,14528.418749999999,0.05506449213545693,0.06883061516932117
draft,1,5,1,3,1500,18160.5234375,14528.418749999999,0.08259673820318539,0.10324592275398176
draft,1,5,1,6,3000,18160.5234375,14528.418749999999,0.16519347640637078,0.2064918455079635
draft,1,6,1,0,0,20634.55078125,16507.640625,0.0,0.0
draft,1,6,1,1,500,20634.55078125,16507.640625,0.024231203543056294,0.030289004428820366
draft,1,6,1,2,1000,20634.55078125,16507.640625,0.04846240708611259,0.06057800885764073
draft,1,6,1,3,1500,20634.55078125,16507.640625,0.07269361062916888,0.0908670132864611
draft,1,6,1,6,3000,20634.55078125,16507.640625,0.14538722125833775,0.1817340265729222
draft,1,7,1,0,0,19541.5078125,15633.206250000001,0.0,0.0
draft,1,7,1,1,500,19541.5078125,15633.206250000001,0.025586561937670334,0.031983202422087915
draft,1,7,1,2,1000,19541.5078125,15633.206250000001,0.05117312387534067,0.06396640484417583
draft,1,7,1,3,1500,19541.5078125,15633.206250000001,0.076759685813011,0.09594960726626375
draft,1,7,1,6,3000,19541.5078125,15633.206250000001,0.153519371626022,0.1918992145325275
draft,1,8,1,0,0,21433.21875,17146.574999999997,0.0,0.0
draft,1,8,1,1,500,21433.21875,17146.574999999997,0.023328274013906566,0.029160342517383215
draft,1,8,1,2,1000,21433.21875,17146.574999999997,0.04665654802781313,0.05832068503476643
draft,1,8,1,3,1500,21433.21875,17146.574999999997,0.0699848220417197,0.08748102755214965
draft,1,8,1,6,3000,21433.21875,17146.574999999997,0.1399696440834394,0.1749620551042993
draft,1,9,1,0,0,21522.44140625,17217.953125,0.0,0.0
draft,1,9,1,1,500,21522.44140625,17217.953125,0.02323156516317906,0.029039456453973822
draft,1,9,1,2,1000,21522.44140625,17217.953125,0.04646313032635812,0.058078912907947644
draft,1,9,1,3,1500,21522.44140625,17217.953125,0.06969469548953718,0.08711836936192147
draft,1,9,1,6,3000,21522.44140625,17217.953125,0.13938939097907435,0.17423673872384293
draft,1,10,1,0,0,24167.49609375,19333.996874999997,0.0,0.0
draft,1,10,1,1,500,24167.49609375,19333.996874999997,0.020688945104631914,0.025861181380789897
draft,1,10,1,2,1000,24167.49609375,19333.996874999997,0.04137789020926383,0.05172236276157979
draft,1,10,1,3,1500,24167.49609375,19333.996874999997,0.062066835313895743,0.07758354414236969
draft,1,10,1,6,3000,24167.49609375,19333.996874999997,0.12413367062779149,0.15516708828473938
draft,1,11,1,0,0,22453.0234375,17962.41875,0.0,0.0
draft,1,11,1,1,500,22453.0234375,17962.41875,0.0222687158988541,0.027835894873567624
draft,1,11,1,2,1000,22453.0234375,17962.41875,0.0445374317977082,0.05567178974713525
draft,1,11,1,3,1500,22453.0234375,17962.41875,0.0668061476965623,0.08350768462070288
draft,1,11,1,6,3000,22453.0234375,17962.41875,0.1336122953931246,0.16701536924140575
draft,1,12,1,0,0,27737.1875,22189.75,0.0,0.0
draft,1,12,1,1,500,27737.1875,22189.75,0.018026340990772768,0.022532926238465957
draft,1,12,1,2,1000,27737.1875,22189.75,0.036052681981545535,0.045065852476931914
draft,1,12,1,3,1500,27737.1875,22189.75,0.0540790229723183,0.06759877871539788
draft,1,12,1,6,3000,27737.1875,22189.75,0.1081580459446366,0.13519755743079576
draft,1,13,1,0,0,25631.15625,20504.925000000003,0.0,0.0
draft,1,13,1,1,500,25631.15625,20504.925000000003,0.01950750856196743,0.024384385702459283
draft,1,13,1,2,1000,25631.15625,20504.925000000003,0.03901501712393486,0.048768771404918566
draft,1,13,1,3,1500,25631.15625,20504.925000000003,0.05852252568590229,0.07315315710737785
draft,1,13,1,6,3000,25631.15625,20504.925000000003,0.11704505137180458,0.1463063142147557
draft,1,14,1,0,0,26837.91015625,21470.328125,0.0,0.0
draft,1,14,1,1,500,26837.91015625,21470.328125,0.018630362688041125,0.02328795336005141
draft,1,14,1,2,1000,26837.91015625,21470.328125,0.03726072537608225,0.04657590672010282
draft,1,14,1,3,1500,26837.91015625,21470.328125,0.05589108806412338,0.06986386008015423
draft,1,14,1,6,3000,26837.91015625,21470.328125,0.11178217612824676,0.13972772016030846
draft,1,15,1,0,0,25089.54296875,20071.634374999998,0.0,0.0
draft,1,15,1,1,500,25089.54296875,20071.634374999998,0.019928621283487286,0.024910776604359107
draft,1,15,1,2,1000,25089.54296875,20071.634374999998,0.03985724256697457,0.049821553208718214
draft,1,15,1,3,1500,25089.54296875,20071.634374999998,0.059785863850461855,0.07473232981307733
draft,1,15,1,6,3000,25089.54296875,20071.634374999998,0.11957172770092371,0.14946465962615466
draft,1,16,1,0,0,57510.72265625,46008.578125,0.0,0.0
draft,1,16,1,1,500,57510.72265625,46008.578125,0.00869403090252531,0.010867538628156637
draft,1,16,1,2,1000,57510.72265625,46008.578125,0.01738806180505062,0.021735077256313275
draft,1,16,1,3,1500,57510.72265625,46008.578125,0.02608209270757593,0.032602615884469915
draft,1,16,1,6,3000,57510.72265625,46008.578125,0.05216418541515186,0.06520523176893983
draft,1,17,1,0,0,53602.921875,42882.337499999994,0.0,0.0
draft,1,17,1,1,500,53602.921875,42882.337499999994,0.009327849723677027,0.011659812154596286
draft,1,17,1,2,1000,53602.921875,42882.337499999994,0.018655699447354054,0.02331962430919257
draft,1,17,1,3,1500,53602.921875,42882.337499999994,0.02798354917103108,0.03497943646378886
draft,1,17,1,6,3000,53602.921875,42882.337499999994,0.05596709834206216,0.06995887292757771
draft,1,18,1,0,0,53036.45703125,42429.165625,0.0,0.0
draft,1,18,1,1,500,53036.45703125,42429.165625,0.009427477399280109,0.011784346749100135
draft,1,18,1,2,1000,53036.45703125,42429.165625,0.018854954798560218,0.02356869349820027
draft,1,18,1,3,1500,53036.45703125,42429.165625,0.028282432197840327,0.035353040247300405
draft,1,18,1,6,3000,53036.45703125,42429.165625,0.056564864395680654,0.07070608049460081
draft,1,19,1,0,0,47853.7578125,38283.00625,0.0,0.0
draft,1,19,1,1,500,47853.7578125,38283.00625,0.010448500240233877,0.013060625300292346
draft,1,19,1,2,1000,47853.7578125,38283.00625,0.020897000480467755,0.02612125060058469
draft,1,19,1,3,1500,47853.7578125,38283.00625,0.03134550072070163,0.03918187590087704
draft,1,19,1,6,3000,47853.7578125,38283.00625,0.06269100144140326,0.07836375180175408
draft,1,20,1,0,0,53984.875,43187.9,0.0,0.0
draft,1,20,1,1,500,53984.875,43187.9,0.009261853435800306,0.01157731679475038
draft,1,20,1,2,1000,53984.875,43187.9,0.018523706871600612,0.02315463358950076
draft,1,20,1,3,1500,53984.875,43187.9,0.027785560307400915,0.03473195038425114
draft,1,20,1,6,3000,53984.875,43187.9,0.05557112061480183,0.06946390076850228
draft,1,21,1,0,0,48830.61328125,39064.490625000006,0.0,0.0
draft,1,21,1,1,500,48830.61328125,39064.490625000006,0.010239478196191122,0.012799347745238901
draft,1,21,1,2,1000,48830.61328125,39064.490625000006,0.020478956392382244,0.025598695490477802
draft,1,21,1,3,1500,48830.61328125,39064.490625000006,0.030718434588573366,0.0383980432357167
draft,1,21,1,6,3000,48830.61328125,39064.490625000006,0.06143686917714673,0.0767960864714334
draft,1,22,1,0,0,48200.0703125,38560.05625,0.0,0.0
draft,1,22,1,1,500,48200.0703125,38560.05625,0.010373428851001742,0.012966786063752176
draft,1,22,1,2,1000,48200.0703125,38560.05625,0.020746857702003484,0.025933572127504353
draft,1,22,1,3,1500,48200.0703125,38560.05625,0.031120286553005222,0.03890035819125653
draft,1,22,1,6,3000,48200.0703125,38560.05625,0.062240573106010444,0.07780071638251305
draft,1,23,1,0,0,44322.48828125,35457.990625,0.0,0.0
draft,1,23,1,1,500,44322.48828125,35457.990625,0.011280955095012523,0.014101193868765653
draft,1,23,1,2,1000,44322.48828125,35457.990625,0.022561910190025045,0.028202387737531306
draft,1,23,1,3,1500,44322.48828125,35457.990625,0.03384286528503757,0.04230358160629696
draft,1,23,1,6,3000,44322.48828125,35457.990625,0.06768573057007514,0.08460716321259391
draft,1,24,1,0,0,61036.08984375,48828.871875,0.0,0.0
draft,1,24,1,1,500,61036.08984375,48828.871875,0.008191874697084633,0.010239843371355792
draft,1,24,1,2,1000,61036.08984375,48828.871875,0.016383749394169266,0.020479686742711584
draft,1,24,1,3,1500,61036.08984375,48828.871875,0.0245756240912539,0.030719530114067375
draft,1,24,1,6,3000,61036.08984375,48828.871875,0.0491512481825078,0.06143906022813475
draft,1,25,1,0,0,54671.44921875,43737.159375,0.0,0.0
draft,1,25,1,1,500,54671.44921875,43737.159375,0.009145541359246081,0.011431926699057602
draft,1,25,1,2,1000,54671.44921875,43737.159375,0.018291082718492162,0.022863853398115204
draft,1,25,1,3,1500,54671.44921875,43737.159375,0.027436624077738246,0.0342957800971728
draft,1,25,1,6,3000,54671.44921875,43737.159375,0.05487324815547649,0.0685915601943456
draft,1,26,1,0,0,53597.45703125,42877.965625,0.0,0.0
draft,1,26,1,1,500,53597.45703125,42877.965625,0.009328800799419924,0.011661000999274905
draft,1,26,1,2,1000,53597.45703125,42877.965625,0.01865760159883985,0.02332200199854981
draft,1,26,1,3,1500,53597.45703125,42877.965625,0.02798640239825977,0.03498300299782472
draft,1,26,1,6,3000,53597.45703125,42877.965625,0.05597280479651954,0.06996600599564944
draft,1,27,1,0,0,48697.5859375,38958.06875,0.0,0.0
draft,1,27,1,1,500,48697.5859375,38958.06875,0.010267449409950538,0.012834311762438173
draft,1,27,1,2,1000,48697.5859375,38958.06875,0.020534898819901077,0.025668623524876345
draft,1,27,1,3,1500,48697.5859375,38958.06875,0.030802348229851614,0.03850293528731452
draft,1,27,1,6,3000,48697.5859375,38958.06875,0.06160469645970323,0.07700587057462904
draft,1,28,1,0,0,54027.83203125,43222.265625,0.0,0.0
draft,1,28,1,1,500,54027.83203125,43222.265625,0.009254489421504036,0.011568111776880044
draft,1,28,1,2,1000,54027.83203125,43222.265625,0.018508978843008072,0.023136223553760087
draft,1,28,1,3,1500,54027.83203125,43222.265625,0.027763468264512106,0.03470433533064013
draft,1,28,1,6,3000,54027.83203125,43222.265625,0.05552693652902421,0.06940867066128026
draft,1,29,1,0,0,49233.265625,39386.612499999996,0.0,0.0
draft,1,29,1,1,500,49233.265625,39386.612499999996,0.010155735022909116,0.012694668778636398
draft,1,29,1,2,1000,49233.265625,39386.612499999996,0.020311470045818233,0.025389337557272795
draft,1,29,1,3,1500,49233.265625,39386.612499999996,0.03046720506872735,0.03808400633590919
draft,1,29,1,6,3000,49233.265625,39386.612499999996,0.0609344101374547,0.07616801267181839
draft,1,30,1,0,0,48625.4921875,38900.39375,0.0,0.0
draft,1,30,1,1,500,48625.4921875,38900.39375,0.010282672267295494,0.012853340334119367
draft,1,30,1,2,1000,48625.4921875,38900.39375,0.02056534453459099,0.025706680668238734
draft,1,30,1,3,1500,48625.4921875,38900.39375,0.030848016801886483,0.0385600210023581
draft,1,30,1,6,3000,48625.4921875,38900.39375,0.061696033603772966,0.0771200420047162
draft,1,31,1,0,0,45127.203125,36101.7625,0.0,0.0
draft,1,31,1,1,500,45127.203125,36101.7625,0.0110797914644749,0.013849739330593625
draft,1,31,1,2,1000,45127.203125,36101.7625,0.0221595829289498,0.02769947866118725
draft,1,31,1,3,1500,45127.203125,36101.7625,0.0332393743934247,0.04154921799178087
draft,1,31,1,6,3000,45127.203125,36101.7625,0.0664787487868494,0.08309843598356174
draft,1,32,1,0,0,95251.28125,76201.025,0.0,0.0
draft,1,32,1,1,500,95251.28125,76201.025,0.005249273221718474,0.006561591527148094
draft,1,32,1,2,1000,95251.28125,76201.025,0.010498546443436948,0.013123183054296187
draft,1,32,1,3,1500,95251.28125,76201.025,0.015747819665155424,0.01968477458144428
draft,1,32,1,6,3000,95251.28125,76201.025,0.03149563933031085,0.03936954916288856
draft,1,33,1,0,0,87145.01171875,69716.009375,0.0,0.0
draft,1,33,1,1,500,87145.01171875,69716.009375,0.0057375630588436845,0.0071719538235546065
draft,1,33,1,2,1000,87145.01171875,69716.009375,0.011475126117687369,0.014343907647109213
draft,1,33,1,3,1500,87145.01171875,69716.009375,0.017212689176531053,0.02151586147066382
draft,1,33,1,6,3000,87145.01171875,69716.009375,0.03442537835306211,0.04303172294132764
draft,1,34,1,0,0,84181.6015625,67345.28125,0.0,0.0
draft,1,34,1,1,500,84181.6015625,67345.28125,0.005939540121825536,0.007424425152281921
draft,1,34,1,2,1000,84181.6015625,67345.28125,0.011879080243651072,0.014848850304563841
draft,1,34,1,3,1500,84181.6015625,67345.28125,0.017818620365476608,0.02227327545684576
draft,1,34,1,6,3000,84181.6015625,67345.28125,0.035637240730953215,0.04454655091369152
draft,1,35,1,0,0,74524.34765625,59619.478124999994,0.0,0.0
draft,1,35,1,1,500,74524.34765625,59619.478124999994,0.006709216728823891,0.008386520911029864
draft,1,35,1,2,1000,74524.34765625,59619.478124999994,0.013418433457647781,0.01677304182205973
draft,1,35,1,3,1500,74524.34765625,59619.478124999994,0.020127650186471672,0.025159562733089592
draft,1,35,1,6,3000,74524.34765625,59619.478124999994,0.040255300372943344,0.050319125466179185
draft,1,36,1,0,0,82155.93359375,65724.746875,0.0,0.0
draft,1,36,1,1,500,82155.93359375,65724.746875,0.006085987683767706,0.0076074846047096325
draft,1,36,1,2,1000,82155.93359375,65724.746875,0.012171975367535412,0.015214969209419265
draft,1,36,1,3,1500,82155.93359375,65724.746875,0.018257963051303117,0.022822453814128896
draft,1,36,1,6,3000,82155.93359375,65724.746875,0.03651592610260623,0.04564490762825779
draft,1,37,1,0,0,73328.8671875,58663.09375,0.0,0.0
draft,1,37,1,1,500,73328.8671875,58663.09375,0.006818597084303962,0.008523246355379953
draft,1,37,1,2,1000,73328.8671875,58663.09375,0.013637194168607925,0.017046492710759906
draft,1,37,1,3,1500,73328.8671875,58663.09375,0.020455791252911887,0.02556973906613986
draft,1,37,1,6,3000,73328.8671875,58663.09375,0.040911582505823774,0.05113947813227972
draft,1,38,1,0,0,70816.65234375,56653.321874999994,0.0,0.0
draft,1,38,1,1,500,70816.65234375,56653.321874999994,0.0070604862479654905,0.008825607809956865
draft,1,38,1,2,1000,70816.65234375,56653.321874999994,0.014120972495930981,0.01765121561991373
draft,1,38,1,3,1500,70816.65234375,56653.321874999994,0.021181458743896472,0.026476823429870594
draft,1,38,1,6,3000,70816.65234375,56653.321874999994,0.042362917487792945,0.05295364685974119
draft,1,39,1,0,0,64549.90234375001,51639.921875,0.0,0.0
draft,1,39,1,1,500,64549.90234375001,51639.921875,0.007745945103639837,0.009682431379549798
draft,1,39,1,2,1000,64549.90234375001,51639.921875,0.015491890207279674,0.019364862759099596
draft,1,39,1,3,1500,64549.90234375001,51639.921875,0.02323783531091951,0.029047294138649392
draft,1,39,1,6,3000,64549.90234375001,51639.921875,0.04647567062183902,0.058094588277298784
draft,1,40,1,0,0,92089.01953125,73671.21562500001,0.0,0.0
draft,1,40,1,1,500,92089.01953125,73671.21562500001,0.00542952897690834,0.006786911221135425
draft,1,40,1,2,1000,92089.01953125,73671.21562500001,0.01085905795381668,0.01357382244227085
draft,1,40,1,3,1500,92089.01953125,73671.21562500001,0.016288586930725022,0.020360733663406273
draft,1,40,1,6,3000,92089.01953125,73671.21562500001,0.032577173861450044,0.04072146732681255
draft,1,41,1,0,0,81820.99609375,65456.796875,0.0,0.0
draft,1,41,1,1,500,81820.99609375,65456.796875,0.006110900916277077,0.007638626145346346
draft,1,41,1,2,1000,81820.99609375,65456.796875,0.012221801832554153,0.015277252290692692
draft,1,41,1,3,1500,81820.99609375,65456.796875,0.01833270274883123,0.02291587843603904
draft,1,41,1,6,3000,81820.99609375,65456.796875,0.03666540549766246,0.04583175687207808
draft,1,42,1,0,0,78715.19921875,62972.159375,0.0,0.0
draft,1,42,1,1,500,78715.19921875,62972.159375,0.0063520133971902565,0.00794001674648782
draft,1,42,1,2,1000,78715.19921875,62972.159375,0.012704026794380513,0.01588003349297564
draft,1,42,1,3,1500,78715.19921875,62972.159375,0.01905604019157077,0.023820050239463462
draft,1,42,1,6,3000,78715.19921875,62972.159375,0.03811208038314154,0.047640100478926924
draft,1,43,1,0,0,71176.5390625,56941.23125,0.0,0.0
draft,1,43,1,1,500,71176.5390625,56941.23125,0.007024786630338275,0.008780983287922844
draft,1,43,1,2,1000,71176.5390625,56941.23125,0.01404957326067655,0.01756196657584569
draft,1,43,1,3,1500,71176.5390625,56941.23125,0.021074359891014825,0.026342949863768533
draft,1,43,1,6,3000,71176.5390625,56941.23125,0.04214871978202965,0.05268589972753707
draft,1,44,1,0,0,77003.90625,61603.125,0.0,0.0
draft,1,44,1,1,500,77003.90625,61603.125,0.006493177091259575,0.008116471364074469
draft,1,44,1,2,1000,77003.90625,61603.125,0.01298635418251915,0.016232942728148937
draft,1,44,1,3,1500,77003.90625,61603.125,0.019479531273778723,0.024349414092223406
draft,1,44,1,6,3000,77003.90625,61603.125,0.038959062547557446,0.04869882818444681
draft,1,45,1,0,0,69993.06640625,55994.453125,0.0,0.0
draft,1,45,1,1,500,69993.06640625,55994.453125,0.007143564722510182,0.008929455903137727
draft,1,45,1,2,1000,69993.06640625,55994.453125,0.014287129445020363,0.017858911806275454
draft,1,45,1,3,1500,69993.06640625,55994.453125,0.021430694167530545,0.02678836770941318
draft,1,45,1,6,3000,69993.06640625,55994.453125,0.04286138833506109,0.05357673541882636
draft,1,46,1,0,0,68024.296875,54419.4375,0.0,0.0
draft,1,46,1,1,500,68024.296875,54419.4375,0.0073503148576278465,0.009187893572034807
draft,1,46,1,2,1000,68024.296875,54419.4375,0.014700629715255693,0.018375787144069615
draft,1,46,1,3,1500,68024.296875,54419.4375,0.02205094457288354,0.027563680716104426
draft,1,46,1,6,3000,68024.296875,54419.4375,0.04410188914576708,0.05512736143220885
draft,1,47,1,0,0,62759.77734375,50207.821874999994,0.0,0.0
draft,1,47,1,1,500,62759.77734375,50207.821874999994,0.007966886135707316,0.009958607669634146
draft,1,47,1,2,1000,62759.77734375,50207.821874999994,0.015933772271414633,0.019917215339268293
draft,1,47,1,3,1500,62759.77734375,50207.821874999994,0.02390065840712195,0.029875823008902437
draft,1,47,1,6,3000,62759.77734375,50207.821874999994,0.0478013168142439,0.059751646017804874
draft,1,48,1,0,0,112961.4375,90369.15,0.0,0.0
draft,1,48,1,1,500,112961.4375,90369.15,0.004426289281242548,0.005532861601553185
draft,1,48,1,2,1000,112961.4375,90369.15,0.008852578562485097,0.01106572320310637
draft,1,48,1,3,1500,112961.4375,90369.15,0.013278867843727643,0.016598584804659557
draft,1,48,1,6,3000,112961.4375,90369.15,0.026557735687455286,0.033197169609319115
draft,1,49,1,0,0,98821.7890625,79057.43125000001,0.0,0.0
draft,1,49,1,1,500,98821.7890625,79057.43125000001,0.005059612912732983,0.006324516140916227
draft,1,49,1,2,1000,98821.7890625,79057.43125000001,0.010119225825465965,0.012649032281832454
draft,1,49,1,3,1500,98821.7890625,79057.43125000001,0.015178838738198946,0.018973548422748683
draft,1,49,1,6,3000,98821.7890625,79057.43125000001,0.030357677476397893,0.037947096845497366
draft,1,50,1,0,0,94551.421875,75641.13750000001,0.0,0.0
draft,1,50,1,1,500,94551.421875,75641.13750000001,0.005288127773065285,0.006610159716331605
draft,1,50,1,2,1000,94551.421875,75641.13750000001,0.01057625554613057,0.01322031943266321
draft,1,50,1,3,1500,94551.421875,75641.13750000001,0.015864383319195853,0.019830479148994815
draft,1,50,1,6,3000,94551.421875,75641.13750000001,0.031728766638391706,0.03966095829798963
draft,1,51,1,0,0,85454.84765625,68363.87812499999,0.0,0.0
draft,1,51,1,1,500,85454.84765625,68363.87812499999,0.005851043138141163,0.007313803922676455
draft,1,51,1,2,1000,85454.84765625,68363.87812499999,0.011702086276282326,0.01462760784535291
draft,1,51,1,3,1500,85454.84765625,68363.87812499999,0.01755312941442349,0.021941411768029363
draft,1,51,1,6,3000,85454.84765625,68363.87812499999,0.03510625882884698,0.04388282353605873
draft,1,52,1,0,0,91472.921875,73178.3375,0.0,0.0
draft,1,52,1,1,500,91472.921875,73178.3375,0.005466098488504197,0.006832623110630247
draft,1,52,1,2,1000,91472.921875,73178.3375,0.010932196977008394,0.013665246221260493
draft,1,52,1,3,1500,91472.921875,73178.3375,0.01639829546551259,0.02049786933189074
draft,1,52,1,6,3000,91472.921875,73178.3375,0.03279659093102518,0.04099573866378148
draft,1,53,1,0,0,83182.5390625,66546.03125,0.0,0.0
draft,1,53,1,1,500,83182.5390625,66546.03125,0.006010876869535327,0.007513596086919158
draft,1,53,1,2,1000,83182.5390625,66546.03125,0.012021753739070653,0.015027192173838315
draft,1,53,1,3,1500,83182.5390625,66546.03125,0.01803263060860598,0.022540788260757474
draft,1,53,1,6,3000,83182.5390625,66546.03125,0.03606526121721196,0.04508157652151495
draft,1,54,1,0,0,80458.4765625,64366.78125,0.0,0.0
draft,1,54,1,1,500,80458.4765625,64366.78125,0.0062143856230188615,0.007767982028773576
